PID	Status	Label
1471	0	com.apple.siriinferenced
2420	0	com.apple.studentd
-	0	com.apple.FollowUpUI
1608	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
1570	0	com.apple.uikitsystemapp
1431	0	com.apple.controlstrip
1480	0	com.apple.financed
1445	0	com.apple.findmy.findmylocateagent
1580	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
1443	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
1503	0	com.apple.scopedbookmarksagent.xpc
1834	0	com.apple.ensemble
1531	0	com.apple.ReportCrash
-	0	com.apple.biomesyncd
9261	0	com.apple.ciphermld
1469	0	com.apple.UsageTrackingAgent
1591	0	com.apple.email.maild
1439	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
18499	0	com.apple.Maps.mapspushd
2275	0	application.com.microsoft.VSCode.1172186.1172958
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
1825	0	com.apple.gamed
-	0	com.apple.STMUIHelper
1599	0	com.apple.intelligencecontextd
1401	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
1436	0	com.apple.mobiledeviceupdater
1524	0	com.apple.AccessibilityUIServer
1557	0	com.apple.communicationtrustd
-	0	com.apple.helpd
1782	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
1444	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.toolkitd
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
1514	0	com.apple.passd
-	0	com.apple.DictationIM
1496	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
1919	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
2086	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1341	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
40113	0	com.apple.mdworker.shared.<UUID-REDACTED>
-	0	com.apple.cvmsCompAgent3600_arm64
1589	0	com.apple.WorkflowKit.ShortcutsViewService
1551	0	com.apple.carboncore.csnameddata
-	0	com.apple.mdworker.application
1954	0	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
1340	0	com.apple.distnoted.xpc.agent
1515	0	com.apple.geod
1442	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
1485	0	com.apple.chronod
1880	0	com.apple.accessibility.heard
1590	0	com.apple.corespeechd
1988	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
1537	0	com.apple.itunescloudd
-	0	com.apple.scrod
10886	0	application.io.tailscale.ipn.macsys.475767.475772
1719	0	com.apple.spindump_agent
95294	-9	com.apple.frauddefensed
-	0	com.apple.AquaAppearanceHelper
1500	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
1571	0	com.apple.milod
-	0	com.apple.bookdatastored
1785	0	com.apple.security.keychain-circle-notification
1803	0	com.apple.appstorecomponentsd
